Date,Oil (BOPD),Gas (MMSCFD)
2025-01-01,3010.0,7.0
2025-01-02,2530.0,7.0
2025-01-03,2530.0,7.0
2025-01-04,2530.0,7.0
2025-01-05,2530.0,7.0
2025-01-06,2530.0,7.0
2025-01-07,4799.0,7.0
2025-01-08,4799.0,7.0
2025-01-09,4799.0,7.0
2025-01-10,4799.0,7.0
2025-01-11,4799.0,7.0
2025-01-12,4689.0,7.0
2025-01-13,4689.0,7.0
2025-01-14,4689.0,7.0
2025-01-15,4689.0,7.0
2025-01-16,4689.0,7.0
2025-01-17,4689.0,7.0
2025-01-18,4689.0,7.0
2025-01-19,4689.0,7.0
2025-01-20,4689.0,7.0
2025-01-21,4689.0,7.0
2025-01-22,4409.0,7.0
2025-01-23,4409.0,7.0
2025-01-24,4409.0,7.0
2025-01-25,4409.0,7.0
2025-01-26,4409.0,7.0
2025-01-27,4409.0,7.0
2025-01-28,4409.0,7.0
2025-01-29,4409.0,7.0
2025-01-30,4409.0,7.0
2025-01-31,4456.0,7.0
2025-02-01,4425.0,8.5
2025-02-02,4445.0,8.5
2025-02-03,4445.0,8.5
2025-02-04,4445.0,8.5
2025-02-05,4445.0,8.5
2025-02-06,4445.0,8.5
2025-02-07,5034.0,8.5
2025-02-08,5034.0,8.5
2025-02-09,5034.0,8.5
2025-02-10,5034.0,8.5
2025-02-11,5034.0,8.5
2025-02-12,4560.0,8.5
2025-02-13,4560.0,8.5
2025-02-14,4560.0,8.5
2025-02-15,4560.0,8.5
2025-02-16,4560.0,8.5
2025-02-17,4560.0,8.5
2025-02-18,4560.0,8.5
2025-02-19,4560.0,8.5
2025-02-20,4286.0,8.5
2025-02-21,4286.0,8.5
2025-02-22,4286.0,8.5
2025-02-23,4286.0,8.5
2025-02-24,4286.0,8.5
2025-02-25,4286.0,8.5
2025-02-26,4286.0,8.5
2025-02-27,4286.0,8.5
2025-02-28,4374.0,8.5
2025-03-01,4120.0,8.5
2025-03-02,0.0,0.0
2025-03-03,0.0,0.0
2025-03-04,0.0,0.0
2025-03-05,0.0,0.0
2025-03-06,0.0,0.0
2025-03-07,0.0,0.0
2025-03-08,0.0,0.0
2025-03-09,0.0,0.0
2025-03-10,0.0,0.0
2025-03-11,0.0,0.0
2025-03-12,0.0,0.0
2025-03-13,0.0,0.0
2025-03-14,0.0,0.0
2025-03-15,0.0,0.0
2025-03-16,0.0,0.0
2025-03-17,0.0,0.0
2025-03-18,0.0,0.0
2025-03-19,3727.0,8.5
